IMSI,y
e1b07248e3d2714a5abf61f39dd725e3,0
5b093f03b587af8a7098fcdd89c01782,1
c9ef8cdd8d75491c34580d93065c4458,0
64d31cc0c63f8dfbe0efbe51d12bf8e9,0
546e92b7dd6fa98cdd80006d0e1f0d5a,1
fcdfdb9e08da4086465c16fb4c07fc31,0
b55c29977603e146b2557b6af5b072d6,1
6852f1083b93e26dafebe50db0f6b273,1
409629e5f31776bd4adee04c5aff6deb,1
d00a6ec7242be478be47e10b2eebb446,1
31c3bfa7c701bcb6522a0603d2df0603,0
7ed26d71b0dad08f5d2a2b7b731c8b87,0
50ebc8fb1cecb90843cef1e944e3dead,1
a0a1e81ea29b5c048dcda95090e77188,1
565f8e4f14a536bfda3e4a5dbc84678b,0
1b6ae62fa9a358c5dbcd126e7933ade2,0
c05cab987f96721e841911f87e7c03a3,1
d21bdbbf656cc90093ca65e024b33d8f,0
19828542a33e88f92f92fed4ef1cccbf,0
ed8230a9c23c57c88acdc4170a4e2635,0
7be11ff76b2f326ac6cfd308b85884d2,0
d1af04e444d3cb712317be19adbe3985,0
ededb21bd8cd6d9ecc106f1b8ce5de9f,1
45e8d4ac8d44b54d49ceebac423622b0,0
f10c066d14ba7ee6022428ef1e4d024b,0
a30c4d6eac0bd6695167e0805ad8a847,1
b16a68bf4473da5a49e294a327fb09ab,0
764b094c7d19bf6c6bd6b210ec576732,0
41996d582cff530446269639bd858292,1
794137d600a3037f9d89c0ed98e6f455,0
ac135b36c231916771d3356f6a4754a2,0
6a4f2934170777165295fcc21a0e1507,0
c166e290719ca81f1931e1dfd3b60865,0
397ac0a5fa1172a9d4a36b20fcb184cd,1
f0ee0e475dace580b3ad34b80b20a88b,1
5119521fc328092fba7a36cbcdc1e6c7,0
7605adb12ba48ed831dd7eb1cbf88852,0
6805c16726830081ecc7f70e4e098c40,0
f034bacf58fe5ed49fc21bb3fc32aeec,0
3167c5fc7bf07be38cad2a10adb55881,1
edb372003cf3000d4f93359df9f5c0bd,1
73c31144296e3cbeb24274354253fd74,0
992f6b2afb8688623a1ce6ba6205116a,1
e668e357a2ec9debe2086cebc8f1daef,1
0f7ed65f6630064b441d29ae030bf708,1
fcb96c048e77db0c71bec974d29a6a22,1
3c71f8d01bf00962539b7fdd2c9358b1,0
f14f995f94e6eb5ea2a2998f39e97c3b,0
4b9bd506eaa53e431cb87b3d1fcc45e8,1
84f0d428b0b8df57d2115cfbe2d16e3b,0
b9ebb3906f811c52bb398568826b3e32,1
318f1110dfe1699baa7b2c7e15684d7d,0
f0f6e4495e6d58932edf9a55f2c270e5,1
bbb0d0460164d513b5b97fc3ebb4ee84,0
81434b334c6cffcd6289ee4da8d51ce7,0
3b1ed49c568c23196d664a5d47d3fbb9,1
fa772fab314268407041a6880f6a9d6e,0
f654cffe0843f6bc907e495050b0481b,1
ef8d7a7fb497bb262107122514b1c89f,1
6440f51db6b8e126328132cb105c553d,0
0104d3b884a8443cce5cc5687af2cc40,0
7242e1f6a40ac958a4a51b50192ea253,0
5cce30afebcb23b69f3f111f5c88ca94,0
231ea2a41e069b9a177d1860112ea82a,0
a8d1b4bc1e1cb5dd601a49c1b2928d88,0
f474d24577f4247147570365aedaefda,0
1c770455fa9542157ef43adee634c714,0
a57ea608da78510f23bff727e0a7400f,1
4f14ac9aaf0a39d79d23480cd53658ea,1
1d047a51d6dc89fada0e75c17dc69878,0
267fd980737e5590c11218af73bec420,0
3fce65ddc0e9104155e0ae93ee72318e,0
7a53a527de517069622ea7b6c9af4adc,1
e647de0bc274bc49bc2992da70c832a1,0
