IMSI,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12
a4fc99cf22174ce4e32dce22ff7ac397,0,0,0,0,0,0,0,0,0,0
72b6fdb899dd963637a07c7a818b1f8b,0,0,0,0,0,0,0,0,0,0
ca645cda359794acd284c4eb9029bb63,0,0,0,0,0,1,0,1,1,0
7faad2556f54c4e8b651e9cc07cb48d6,0,0,0,0,0,0,0,1,1,1
d84bdc71f8f0ad47da86951f782e2593,0,0,0,0,0,0,0,0,0,0
c8ff0483b0902a8459ebb01731541f6b,0,0,0,0,1,0,0,0,0,0
d51d76eb4be74fb810dcdfe1fef1923b,0,0,0,0,0,0,0,0,0,0
9f1fd064d90d59271af17a7c1d8e2c4b,0,0,0,0,0,0,0,0,0,0
c6d818487d8a2c49325eb77e59d86507,0,0,0,0,0,0,0,0,0,0
8fc34decbe0388f697ea340957dbc03a,0,0,0,0,1,0,0,0,1,0
f13e22b9e6fae85e1408e4b4fcde995e,0,1,0,0,0,0,0,0,0,0
be3220a06003118f9070ae43b492696b,0,0,0,0,0,0,0,0,0,0
aa7671140226cd63d973e5cdcd59a970,0,0,0,0,0,0,0,0,0,0
aded0fad9ba0c6c5d3a71201206df520,0,1,0,0,0,0,0,0,0,0
ad48f2157e07d34343dad5368a783ac1,0,0,0,0,0,0,0,0,0,0
ec018effcb0d12a5dfbcc14090a28fba,0,0,0,0,0,0,1,0,0,0
87029614b4479522daf22c3f37e368d4,0,0,0,0,0,0,0,0,0,0
9b41e55def12de226d87bd015e82fefa,0,0,0,0,0,0,0,0,0,0
0a852d4c58bec16a938c153602b32b1d,0,0,0,1,0,0,0,0,0,0
975d97292344dd805db732ba37d99bf6,1,0,0,0,0,0,0,0,0,0
e82e390fd8fcc36579db52246f83bf0d,0,0,0,0,0,0,0,0,1,1
7b9db30e056f3ba54160a727524e5260,0,0,0,0,0,0,0,1,0,0
0d37da9fdcad410f1f141a71367d212c,0,0,0,0,0,0,0,0,0,0
1c338e46d3d92a998db3435f01c9a09f,0,0,0,0,0,0,0,1,0,0
3f2bf390484994c83c7b19278e900e69,0,0,0,0,0,0,0,1,0,0
5759c327cb3ee094036f08b4b7ecfb7d,1,0,0,0,0,0,0,1,0,0
804f4bf3a5a3bd15dd4ac21d846b4fa6,0,0,0,0,0,0,0,0,0,0
2914578acac3ee834a2e831cea4b3ef1,0,0,0,0,1,0,0,0,0,0
