IMSI,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12
a4fc99cf22174ce4e32dce22ff7ac397,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10
72b6fdb899dd963637a07c7a818b1f8b,Ascend MT3,Ascend MT3,Ascend MT3,Ascend MT3,Ascend MT3,Ascend MT3,Ascend MT3,Ascend MT3,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10
ca645cda359794acd284c4eb9029bb63,U5500,U5500,U5500,U5500,U5500,U5500,iPhone 5S,iPhone 5S,A1518,HTC D816w,A1518,A1518
7faad2556f54c4e8b651e9cc07cb48d6,G730-U00,G730-U00,G730-U00,G730-U00,G730-U00,G730-U00,G730-U00,G730-U00,HUAWEI G730-U00,T-006,Nokia 1050,T-006
d51d76eb4be74fb810dcdfe1fef1923b,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06
c6d818487d8a2c49325eb77e59d86507,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
be3220a06003118f9070ae43b492696b,T2011,T2011,T2011,T2011,T2011,T2011,T2011,T2011,E66,E66,E66,E66
aa7671140226cd63d973e5cdcd59a970,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06
ad48f2157e07d34343dad5368a783ac1,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00
87029614b4479522daf22c3f37e368d4,Y600,Y600,Y600,Y600,Y600,Y600,Y600,Y600,HUAWEI Y600-U00,HUAWEI Y600-U00,HUAWEI Y600-U00,HUAWEI Y600-U00
9b41e55def12de226d87bd015e82fefa,Y550,Y550,Y550,Y550,Y550,Y550,Y550,Y550,HUAWEI G750-T01,HUAWEI G750-T01,HUAWEI G750-T01,HUAWEI G750-T01
e82e390fd8fcc36579db52246f83bf0d,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,HUAWEI P7-L09,HUAWEI P7-L09,HUAWEI C8817L,HUAWEI P7-L09
0d37da9fdcad410f1f141a71367d212c,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
1c338e46d3d92a998db3435f01c9a09f,U9508,U9508,U9508,U9508,U9508,U9508,U9508,U9508,HUAWEI U9508,PE-TL10,PE-TL10,PE-TL10
3f2bf390484994c83c7b19278e900e69,E261,E261,E261,E261,E261,E261,E261,E261,2013061,E261,E261,E261
804f4bf3a5a3bd15dd4ac21d846b4fa6,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
c6e6d817afc0f621b774f4381fb29b08,Honor 3C 4G,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200,SM-G7200
e27d348de7e359fdd8a4b9fe0a015e42,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,HUAWEI G630-U00,HUAWEI G630-U00,HUAWEI G615-U10,HUAWEI G630-U00
6009d0bb0869db9bfd3f5eef14b87222,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,HUAWEI P7-L00,HUAWEI P7-L00,HUAWEI P7-L00,HUAWEI P7-L00
b32e9a3ed041b8ff2892a7eaab033e02,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,H30-U10,H30-U10,H30-U10,H30-U10
f85de7eadba599c6440b54c35d87d812,Y518-T00,A298t,A298t,A298t,A298t,A298t,A298t,A298t,HUAWEI Y518-T00,HUAWEI Y518-T00,HUAWEI Y518-T00,HUAWEI Y518-T00
353824a2eaf113483a8f76934d1d04b4,Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),H30-U10,H30-U10,H30-U10,H30-U10
6626bc8884581c69187f5f1507ff4eae,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00
70c778e3be19eea533e5a5a5a6062569,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
f438328d25870eff02b76adaa34562d2,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,HUAWEI P6 S-U06,HUAWEI P6 S-U06,HUAWEI P6 S-U06,HUAWEI P6 S-U06
feeee675f003ade6b8d12b84699b6b2e,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
654725350b9ec26a9f52a638d40e9188,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00
4d1c3147150bbd11474972d718caf7b1,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10
29bb4cd1a38c5b0aeb09c6889ee4548e,Ascend Y300,Ascend Y300,Ascend Y300,Coolpad 8702,Coolpad 8702,Coolpad 8702,S60-t,S60-t,Lenovo S60-t,Lenovo S60-t,Lenovo S60-t,Lenovo S60-t
199e79a8da3bc38d385d6e7acd6b5c94,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06,HUAWEI MT1-U06
8656193fbdf9283ee07ce79dfbe6e32c,Y320-U01,Y320-U01,Y320-U01,Y320-U01,Y320-U01,Y320-U01,Y320-U01,Y320-U01,HUAWEI Y320-U01,HUAWEI Y320-U01,HUAWEI Y320-U01,HUAWEI Y320-U01
1de0741735f4e8787c69a2f0ba0fac4d,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,M100-UL00,M100-UL00,M100-UL00,HUAWEI GRA-UL00,HUAWEI GRA-UL00,HUAWEI GRA-UL00,HUAWEI GRA-UL00
8f053cf61516c31ad79ea334994abf97,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,P6S-U06,HUAWEI P6 S-U06,HUAWEI P6 S-U06,HUAWEI P6 S-U06,HUAWEI P6 S-U06
a7bf8d24e77ad441307e0c5e069c5749,Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Ascend G730,Ascend G730,Ascend G730,Ascend G730,Ascend G730,PE-TL10,PE-TL10,PE-TL10,PE-TL10
3f04c1d79f7252df80a66095d0d99620,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,HUAWEI G520-0000,HUAWEI G520-0000,HUAWEI G520-0000,HUAWEI G520-0000
7b593b59398eaab9fed395889b148d13,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
031540fd415dabeae769fbcfc29d82db,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
f7d0dfac49ceecfae7f6822f4254464c,G700-T00,G700-T00,G700-T00,G700-T00,G700-T00,G700-T00,G700-T00,Ascend P7,HUAWEI P7-L00,HUAWEI P7-L00,HUAWEI P7-L00,HUAWEI P7-L00
fd23631e933512bab624dc03f49e3dd3,Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),H30-U10,H30-U10,H30-U10,H30-U10
545191093ee4682c741a0a448b252b0d,MT2-C00,MT2-C00,MT2-C00,MT2-C00,MT2-C00,MT2-C00,MT2-C00,MT2-C00,A1524,A1524,A1524,HUAWEI Y321-C00
09113f219c6c10a472ae5767f98f7beb,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI P6-U06
18d083674712499bc189cc65eed69635,T8833,T8833,T8833,T8833,GN151,GN151,GN151,GN151,GiONEE GN151,GiONEE GN151,GiONEE GN151,GiONEE GN151
dc9c271fb77635ecf3d1f7a9ecf6ed81,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
2b3ece6a5e3b6df7d5fa9ade916840a5,Y310-5000,Y310-5000,Y310-5000,Y310-5000,Y310-5000,Y310-5000,Y310-5000,Y310-5000,HUAWEI Y310-5000,HUAWEI Y310-5000,HUAWEI Y310-5000,HUAWEI Y310-5000
84e58117ef6e1606b733dbc34c91db6f,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,HUAWEI G700-U00,HUAWEI G700-U00,HUAWEI G700-U00,HUAWEI G700-U00
310c5bc5f34b573d6a7f0edc43f4f96a,U8825D,V970,V970,V970,V970,V970,R8100/1100/8200,R8100/1100/8200,OPPO R8200,OPPO R8200,OPPO 1100,OPPO R8200
b564d139f0a897943557cee17a94c181,Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),H30-U10,H30-U10,M463U,H30-U10
9f89ed9bd45f70d73eebf8e3b86629be,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,CHE-TL00H,CHE-TL00H,CHE-TL00H
e3bccd55e65d09c5a00a15273860ae7c,Y500-T00,Y500-T00,Y500-T00,Y500-T00,Y500-T00,MI 4,MI 4,MI 4,2014719,2014719,2014719,2014719
55dd42f939fbc9de6ea56053e8a44c5d,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,H30-T00,H30-T00,H30-T00,H30-T00
38f4b72ffcc53aa77381f1556b7dbbde,Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),RM-1113,RM-1113,RM-1113,RM-1113,RM-1113
0953d71de643bfcdacb2ea11971ea2c8,B199,B199,B199,B199,B199,B199,B199,B199,HUAWEI B199,HUAWEI B199,HUAWEI B199,HUAWEI B199
c978f6bb4b8432850e4065adfdb388b8,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,HUAWEI P7-L07,A1431,A1431,A1431
fa778f09626e9f0f89dff6d308f97a43,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
ac2ee57da67e92b5992ce382c60bb06d,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
6ba93c281631bb8b3dcfa9610baf7760,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610+,G610+,G610+,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
c7cbaf952a663a6ecde698541f9c53dc,Ascend P7,X9007,X9007,X9007,X9007,X9007,X9007,X9007,OPPO X9007,OPPO X9007,OPPO X9007,OPPO R7sm
3dc2d800497fe58374cdfe1b5f287ea4,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02
ccabab494918ea2ca151f486b74e4090,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00
a4f282866b12439ccf576700de5075eb,MediaPad X1 7.0,MediaPad X1 7.0,MediaPad X1 7.0,MediaPad X1 7.0,MediaPad X1 7.0,MediaPad X1 7.0,MediaPad X1 7.0,MediaPad X1 7.0,7D-501u,7D-501u,7D-501u,7D-501u
065ec2dddce209d6855d94ab82985dc8,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02
6cf34a9a9338c69a69966c44119f338d,P6-C00,P6-C00,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,HUAWEI P7-L09,HUAWEI P7-L09,HUAWEI C8817L,HUAWEI MT7-CL00
094fba72fe27d6e0cd102023b1b364a1,G8600,G8600,G8600,G8600,G8600,G8600,G8600,G8600,HUAWEI A199,2014619,2014619,2014619
