IMSI,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12
f1f893f9cc401b125dc92a6e2a3be22e,1,0,0,1,0,0,0,0,0,0
7faad2556f54c4e8b651e9cc07cb48d6,0,0,0,0,0,0,0,1,1,1
2b7b5cde280607257e0dfb5b3974dfc2,0,0,0,0,1,0,0,1,0,0
48f3f317af01e8374b94f8c04fd941e6,0,0,0,0,0,1,0,0,0,0
8b1c36ed2f1e7fdd14d4cd8042198e2b,0,0,0,0,0,0,0,0,0,0
b54991e601ef2499d10dd4cf250a8e89,0,0,0,0,0,0,0,0,0,1
be3220a06003118f9070ae43b492696b,0,0,0,0,0,0,0,0,0,0
7ecb20e43f680c103f6d9b26c210c67b,0,0,0,1,1,0,0,0,0,0
917d8e7713d93e545fbdee603d0af34d,1,0,1,0,0,1,0,0,0,0
8c962717a5082fbc378968b182ed3c6f,0,0,0,0,1,0,0,0,0,0
dabf59b2c310a524041d5879fe9d28f5,0,0,0,0,0,0,0,0,0,0
5759c327cb3ee094036f08b4b7ecfb7d,1,0,0,0,0,0,0,1,0,0
6e4ec8528d5448232986ef7f0c3a7a98,0,0,0,0,0,0,0,0,0,0
482e9f1b203e86d050a2ce2dcc271f65,0,0,1,1,0,0,0,1,0,1
d8d34dfde32d94db2c852cafa16ec307,0,0,0,0,1,0,0,0,0,0
62e7bb6c1cd485707cd86c588e6c1be4,0,0,0,0,0,0,0,0,0,0
cb6b15e26f1a73b934a31c55dfa0fd38,0,0,0,0,0,0,0,0,0,0
9e60f8fd60f9f960e7968c90d67ef9c6,0,0,0,0,0,0,0,0,0,0
85588103fc88da60b283dd058036d303,1,0,1,0,0,0,0,0,0,0
c3c128e958e09a32cf86096224d12491,0,0,0,0,0,0,0,0,0,0
5356bdb9acf6f6c875fd4504f8dabaef,0,0,0,0,0,0,0,0,0,0
51121b6072cf73d73aff28a5ee2ab8e6,0,0,0,0,0,0,0,0,0,0
f309e2cf8648dffd58e317840c01f319,0,0,0,1,1,0,0,0,0,0
61306fa15e78842a39d6c40c80475d43,0,0,0,0,0,0,1,1,0,1
c4b82a3e128c22d77cf5a1bbe3d68836,0,0,0,0,0,0,0,0,0,0
216bcfc0db693b44ecc0e4a99e4c6225,1,1,1,1,0,0,0,0,0,1
fad2c0b014bd7dce447780cabdeea038,1,0,0,0,0,0,0,0,0,0
4db79e592fb53720644f5ca5f0703899,0,0,0,0,0,0,0,0,0,0
91f5e630f885461835dd0191adcdbc63,0,0,0,0,0,0,0,0,1,0
2abe160366831860e429175c794d659f,0,0,0,0,1,0,1,0,0,0
fe02e5ecaf4050867f394627cdf78158,0,0,0,0,0,0,0,0,0,0
fb5f5d70d0124ba5f23e31e4a470845d,0,0,0,0,0,0,0,0,0,0
247ead0095212dbc92a9bc027e311499,0,1,0,0,0,0,0,0,0,0
6933039a5b1a5fd1556024a7ad394cd4,1,0,0,0,0,1,0,0,0,0
a59098af1220e8a337ec096652b2f705,0,0,0,0,0,0,1,1,1,0
9f7381d556e18a4dd5a17396fc7cd5e4,0,0,1,0,0,0,0,0,0,0
6ff5e17f57b2474e5a8f76c1d983cf34,0,1,0,0,0,0,1,0,0,1
c51315908fb18dc5189374ad26393299,0,0,1,1,1,0,1,0,1,0
b427f9bf7306b2cdfd85caa9cc2fc212,0,0,0,0,0,0,0,0,0,0
91ead921a60d5e713f50f64e30536c3c,0,0,0,0,1,0,0,0,1,0
01e035e9276128f273f1b00578ede66c,0,0,0,0,1,0,0,0,0,1
5b5588fc8f1047acd8152c34a10c9a21,0,0,0,0,0,0,0,0,0,0
3f11a0560f87a7bcbaa7481f09355ead,0,0,0,0,0,1,0,0,1,1
42cd60e068f3c0c26b909603c3c298a1,0,0,0,0,0,0,0,0,0,0
02420a710fff7e1a79c54476ae987cee,0,0,0,0,0,0,0,0,0,0
b75e6c65e297eefe1efab75aef69a971,1,0,0,0,0,0,0,0,0,0
ae0d2d99ff00dcc05cba407d80b58073,0,0,0,0,0,0,0,0,0,0
a4c0ddfb9a0f6d607a7a9af5b52a8fce,0,0,1,0,0,0,0,0,0,0
b1a63fecc16a0ebb8a2f073eb80efca6,0,1,1,0,0,0,0,0,0,0
857131d674c0bca0589fb90160f413f2,0,0,0,0,1,0,0,0,0,0
5198ceddebc052878b50d4f482874345,0,0,0,0,0,0,0,0,0,0
a2281f52096d0f158fc92a42c470b307,1,0,0,0,0,1,1,0,0,0
5099c50601fc737a2da3c8e1d0738e49,0,0,0,0,0,0,0,0,0,0
4c28fab4901a9e1c7dfe8f6562148cde,0,0,0,0,0,0,0,0,0,0
d8d3bebf8f7cd5d1591279c6c5b2ec57,0,0,0,0,0,0,0,0,1,1
5a4f9f32614e08f2ee64fadf05bee1fe,0,0,0,0,0,1,1,0,0,0
86fb54d55ee390d90419a13198ad6bec,0,0,0,0,0,0,0,0,0,0
dc5d3af87f48d7959f25d00f478b4e8c,0,0,0,1,0,0,0,0,0,0
989aa7b1cfa992c5def15d8479509371,0,0,0,0,0,0,0,0,0,0
a2e2c48325dc5f10405a0005815897c6,0,0,0,1,0,0,0,0,0,0
8f87b523e7fdb9568bc2335da03316ff,0,1,1,0,0,0,0,0,0,0
fa2218cf38bd112dc8e4372807cc2616,0,1,0,0,0,0,1,0,0,0
35735911dd9495cf4f463f750cd71fc5,0,0,0,0,0,0,0,0,0,0
eba7d86815ce131d93c70152ee6ffc1d,0,0,0,0,0,1,0,0,0,0
b2263ef22ea4fa996db8784e7317687e,0,0,1,1,0,0,0,0,0,0
5d34960379f88ab63b7fa886d15b96bc,0,0,0,0,0,0,0,0,0,0
7863d7667bac59537be98c55c798c820,0,1,0,1,1,0,0,0,1,0
fce42067459b3d9a7193b0975b408600,0,0,0,0,0,0,0,0,0,0
37bf144683cfd306b493c5e5452f14b6,1,1,0,0,0,0,0,0,0,0
5126d025b7c2bae363ba94bff137f367,0,0,0,0,0,0,0,0,1,1
18516f70ba14e33859ace894f191cfa2,0,0,0,0,0,0,0,0,0,1
01e1f78231538a8cf78f23f95841bce8,0,0,0,0,0,0,0,0,1,1
e59bdd869d5cd60c8a0632e24a7e3993,0,0,1,0,0,0,0,0,0,0
26e1110d8776a5882c038af67c087599,0,0,0,1,1,0,0,0,0,0
e2851b2f4dae9bd4a180c757e6209d35,0,0,0,0,0,0,0,0,0,0
ff3b8b3f473e8a279ec76df264a871e8,0,0,0,0,0,0,0,0,0,0
f6137b0b7975a064453e30e370b57c92,0,0,0,0,0,0,0,0,1,0
f4f070412283cf86550ffe3a707ca074,0,0,1,0,0,0,0,0,0,0
0838cd6aff1d7ddf1296bdca85971db7,0,1,0,0,0,0,0,0,1,1
ce809bbde0c0e74a3e61f7a01c68a342,0,0,0,0,0,0,0,0,0,0
b64a1f65882e3ddcf5d2918704946607,0,0,0,0,0,0,0,0,0,0
8320fe71c4a9cae89cbe3fb8bc25cdde,0,0,1,0,0,0,0,0,0,0
5d19edcac42f397f66170d9e02123610,0,0,1,0,0,1,0,1,0,0
a1994c31558840fdec934b68f2c44a23,0,0,0,0,1,0,0,0,0,0
c20beb4666285ce0d54a8b46722a7932,0,0,0,0,0,0,0,0,0,0
370a19ae325a6b761a5db4d14ebd8b89,0,1,0,0,0,0,0,0,1,0
7fb557427a330f81e416ae46af748f2a,0,0,0,0,1,0,0,0,0,0
94a22ec4a64722eee2fd2d3056824202,0,0,0,0,0,0,0,0,1,0
f11542372be601d0084ea67ef71102f9,1,0,0,1,0,0,0,0,0,0
d9649679027701ff07a5cfa3cf46817e,0,0,0,0,0,0,1,0,0,0
b816848d3f5478d1eff34b3f27f6bffb,0,0,0,0,1,0,1,0,0,0
ab84ed2ace9f5c07fa279634dfc7395e,0,0,0,0,0,0,1,0,0,0
a9b3515e06208d38f1760953b8275001,0,1,0,0,1,0,0,0,0,0
b5469bf59377fdf38c3e6fefda19f75c,0,0,0,1,0,0,0,0,0,0
3d15a8992bb396c2146eec46e6cc8358,0,0,1,0,0,0,0,0,0,0
cc9a479b7e2ffe2634fde2d16121ec2a,0,0,0,0,0,0,0,0,1,0
dcd66ad9b26ff901cff6d915d42b8777,0,0,0,0,0,0,0,0,1,0
125385c7fee773b7a5d286238d20fbdf,0,0,0,0,0,0,0,0,0,0
4a8d69f5bacd2eda7907ef9ee8036b83,0,0,1,0,0,0,0,0,0,1
04f1703a6d2d176e145bc07dca74c880,0,1,0,0,0,0,0,0,1,1
fa6f05376bdbe199470ce307360cdff1,0,0,0,0,0,0,0,1,0,0
8f9250b737d402c725c90883ecbe4a71,0,0,0,0,0,0,0,0,0,0
