IMSI,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12
d8ccc2441daabc76628b8ce9ffc9446e,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,2013029,2013029,2013029,2013029
4e61f55067930b4c2aebd5d42a7ce1ee,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012061,2012061,2012061,2012061
1d449aff69e884d12d53fe279cba29b2,Redmi 2W,Redmi 2W,Redmi 2W,Redmi 2W,Redmi 2W,Redmi 2W,Redmi 2W,iPhone 6 Plus (A1524),2014018,2014018,2013029,2013029
301f4c9653b9b4ec15d72ccd546e1fc4,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,A1528,A1528
dc4df7820c9ec5334122a86805496e0d,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012061,2012061,2012061,2012061
2575738f3207f6e4a9280f95ad8fe803,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
83cd7c8baf7ce52aad6cdee1b11790d7,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,2013062,2013062
c472c0a52655d78846f04ebc851462d1,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
3ca65f38d52c894f271260638413b266,MI 2S,MI 2S,MI 2S,MI 4,MI 4,MI 4,MI 4,MI 4,2014719,2014719,2014719,2014719
8cbb51220762dc52be8f085a0bce7fa9,Redmi 3,Redmi 3,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012052,2012052,2012052,2012052
24f8a609374059a548f0eed23dd71f2d,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013012,2013012,2013012,2013012
1a6b9a07298e86432dccdf9cc069d6c6,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,2014022,2014022,2014022,2014022
d4be8d46952cd4cccaf7b677ff6b297d,H3,H3,H3,H3,H3,H3,H3,H3,2014021,2014021,2014021,2014021
559574741ac25084c02bdefcfc9e0f3c,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014215,2014215,2012121,2014215
86b9dc096439827b1208c2089124a820,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1,MI-ONE C1
8074a247f7ea8b3c8795e2fb8856c72b,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,2013023
073e0c2dfb8b18be542ddf24a1ada203,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013062,2013062,2013012,2013012
1ebd6a869973a7dccb2dca31bac4bdb1,MI 3T,MI 3T,MI 3T,MI 3T,MI 3T,MI 3T,MI 3T,MI 3T,GT-I9300I,GT-I9300I,A1332,A1332
0c5a010225c978764e6a12e43eaa5e59,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2013012,2013012,2013012
2cd7b7dcc6d2a34f5f7560a3f8559495,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,2013023
12f08974d884520c9ca9e8a6ac451b18,MI 3,MI 3,MI 3,MI 3,MI 3,MI 3T,MI 3T,MI 3T,2013061,2013061,2013061,2013061
dab639c8bfcbe05239db95199982cb7d,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2012121
3eed6af9264b32cc67b022bcd6fed454,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2013012,2015561,2015561
720963fd85e98b61a46bf15c0da09b9a,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2014215,2014215,2013023,2014215
1f3829ed617d99543765ba305b4daacd,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,M57A
07b2300a34d7d1657d65700a13bb7e28,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2013012,2013012,2013012
7f003a136b5943769bdb32c8220ff557,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,M571U,M571U,M571U,M571U
88cd0643c7085acfc6bfe8ab7be60f01,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014218,2014218,2013021,2014218
5d8f911129014dd1f4e539a12200a795,MI 2A(CT),MI 2A(CT),G621-TL00,G621-TL00,MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 2A(CT),HUAWEI Y560-CL00,HUAWEI Y560-CL00,HUAWEI ALE-CL00,HUAWEI Y560-CL00
277974a0747661809dce691272cd660b,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2013022,2013022,2013022,2013022
7c84a81ff98ddd4da51703ebe0a7038a,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012061,2012061,2012061,A1524
08a881e8802412fb9c739838a2518bf1,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,2014021,2014021,2014021,2014021
f70e90c18027c3a0bd2fe31969462455,H3,H3,H3,H3,H3,H3,H3,H3,2015021,2015021,2015021,2015021
00694ba88c7aafe778537a2c9b301bec,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,2014501,2014501,2014501,2014501
448db11179a17d56f8cf2c053fb7b620,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,2014021,2014021,SM-G9200,SM-G9200
460464fa1a517a9cd9ad3d8846d42d09,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,A1699
91d2b09ef6a15d33f39c64dd71d95ae3,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2013012
8a8f3919b2f413ceade0decb4df26af8,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2014012,2014012,2013121,2013121
a58ffb6e3c015bd2a1f9434ffc9cf656,MI 3T,MI 3T,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,A1530,A1530,A1530,A1530
00bf388390d65f9918a9bc2ef2c59ab5,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012053,A1586,A1586,A1586
0dab7e31025b48e61f541d4b97334dbe,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2013061,2013061,2013061,2013061
605808ad9de093d32635f6207906b36e,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,GN868H,GN868H,GN868H,2013023,2013023,2013023,2013023
64e3ff5a8ac0a50f823b11e1d91f8338,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
dbbb77675d2a5c77631921fde2276634,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,2013062,2013062
5946b6c81bda2f29c7055a062c390f84,MI 2013023,MI 2013023,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,2014719,2014719,2014719,2014719
8b06ca722e90df684791476180effd11,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013062,2013062,2013012,2013062
e17268fba2e62a7caf2c5d57f9322020,MI 2S,MI 2S,MI 2S,MI 2S,R8100/1100/8200,R8100/1100/8200,R8100/1100/8200,R8100/1100/8200,OPPO R8200,OPPO R8200,OPPO 1100,OPPO R8200
f92b308ad1989142880489dd76ffb90d,MI 2S/MI 3/Redmi 1s,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,MI 2A,MI 2A,CHM-TL00H,CHM-TL00H,CHM-TL00H,CHM-TL00H
95ab5371e6712156a4e9238861da60e2,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2013012,2013012,2013012
d89c534d5165dc191d2a935f877bd756,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2012121
