IMSI,y
ffc78a6be7906e1173c585743240fa4c,0
1d449aff69e884d12d53fe279cba29b2,1
2528acc6564855071926dcb967e71db0,0
4d828ed5715bf8eeb09134d6452ef9ac,0
d91d4f4b52b873afd4c3f0ba3fa00f15,0
ca645cda359794acd284c4eb9029bb63,1
3f491dab113a3ab36a1f676cd50c98da,0
301f4c9653b9b4ec15d72ccd546e1fc4,1
202faa191da0d59bc44d46a607a7c462,0
72a0a59b0f51f354546cd13c5bb5cedd,0
c9c07864ee83b5a4a2449eeee8475f9e,0
45e569b8b0b2ad16c2872ff4043cc9b5,0
a5960232201393dd3bb7356a181f2a4a,1
48f3f317af01e8374b94f8c04fd941e6,1
f8a85f71fe7bcf3ef0b33be41ce6577a,0
bef98a43a2af29de2e95f73320e438c1,1
6af476893738d0995c490ee0d0793684,1
879f7a1a199ca317c96c2adac3b5290c,1
65d0d4d2035709735f7e44b914301885,1
572c1da732f680f9ed2147f43fec348f,0
468d4fd450458d85cd9c23a8ffb65be8,0
fcf3c8b4882546585dc91f1d0970914f,0
f13e22b9e6fae85e1408e4b4fcde995e,1
bf0d77b055648e34a214a10fc524a98a,0
eb7e38ae5506ba81fe702963807fe91b,0
839ff7af1159f3ffcddf0d8ec0f36475,0
7749d9e74bf87df5b8ce36bfebf0e1fa,0
26a8abbc5b752dda8abb2ba7a0d386ae,0
092cd6cd83647aeaf713d924b6c65e6c,1
07869bf8f23186e5083ebc178403aee7,1
60eb759bf51e62fbeb298fa984e4b007,0
4b8b5131331910857da399269af8deaf,0
a9c3db7e74a38719905c53c92410faf2,1
b173488472c1a55e78209d9517928c94,0
f99143b606248e30a514038eabb78fa3,1
72e731f7523526c60d072e46faff0be6,0
fbff51aa05bc26f5a833b23a094df331,0
485415e06a9c86226bf6111d12395e19,0
bac73b09fcf8736bab9374069a4c1921,0
bf59b77044a8d4ac552edce093b5a819,0
063a91d1829bfe997736c8015e3d9f00,0
96651721d2fc74f1106464c6782f5e1e,0
adda58d698c38a14ddd68328ab94eead,1
c19250b9dc7a9905acbc3805459d4fea,0
947534dcc5d77a683a4da7a24153fc0e,0
c1b51b0a45a2e05e2f067452400aba63,0
37ab5331ebe23573943a569b45962e01,1
a9d338418510297352565eec86e8decb,0
c08a48711f474ce7eaf057c167f471a1,0
8c962717a5082fbc378968b182ed3c6f,1
bbfd8e0b9480e61aaa63924e7f9f8aea,0
6f808d804c926907042887ad78687444,1
66094f04406936605baec5a61571dea7,1
3eb62e40324349d69b3e1fbf036e9fc0,0
952b089f3ac6cf818667b2c8d4720597,0
1b7b4c3bb1c4815d02ecffc2cb8c9d4c,1
348872c2e8cd15b03c03a02184f41ed9,0
5566bcedc1f17c772484dda92a06b2f4,1
8112b758481078d6505b6b541edf3869,0
aa9c783e55298d416ca9be1b7b3ad89d,0
de2d398646ffa87d66d8682279201a93,0
d760824a8ae0745f3cf6f3d8d19c9af2,0
1ebd6a869973a7dccb2dca31bac4bdb1,1
b4f781083a9d45e205b88c65396ea626,1
3cc71b7a8007a31d6ca8862096b1550a,0
aeaa58c15e740a27a739ae7e944aa32d,0
