IMSI,y
e7dd782a8f0924948b7f94752072bafd,0
f1f893f9cc401b125dc92a6e2a3be22e,1
be840ce1483c843552e0a28ab899509e,0
6f2f3b06e0a858f9bdd38939f6fb1aae,1
e60f9077f4f7efdc7858b5a4c4a659e0,0
0f179b43ea98f1cf73e02f0a72fd5c2e,1
82f32c4e529519a991c1a1087f602fcf,0
b20c5409df7d6bbcb82b58eb49ba8483,0
a39810272191692b12c1e894af7ee507,0
8f472200ee8abb4c6dd85d1778e0ae5c,1
d84bdc71f8f0ad47da86951f782e2593,0
124b90c68f111786bf1f389c0108c069,0
52dea00848f5684ba093e48779013d60,1
bef98a43a2af29de2e95f73320e438c1,1
9c22cc38fa9a52bdca912f23726eafb6,0
734b258ec959db628207492a0502c34f,1
72ca9f3641f3088d4c9e32cae949bd35,1
10c43268147847ece77ec54f8148af18,1
c8ff0483b0902a8459ebb01731541f6b,1
de677d654ef0a4a0d0daa2815229d28e,1
1f15991507f4e0162765df8e16edd09f,0
d52dca956f8f2edc74dec5ddf525077e,0
51d2b323cc977a0c8be39ee11739000b,1
8fc34decbe0388f697ea340957dbc03a,1
76731bc441540ba6746681abb294cba1,1
5dfbfbd9da00506cf8e6b82f6ad38e5e,1
50fff8fc0f98d8472ae855ecbe9dc81e,0
41e7110e52cb8daa4e43272896c33fda,0
66da3f03321c92bbbb0c8c1376782550,0
9f8067f8d6c883e805a4e5a8acca24d4,0
3c6de8fcb0235c3e4d91f489dfc309b8,0
7b8c3c1e63f0f79c57af510e474ba208,1
9666dfa2a067792114a4743b50800fe5,1
1ddab38aa286793202781d7c700b58de,1
6ff4a91ac66ec847b4a957eb29288c95,1
c330388ae7853d440ace72005a7d2dcf,0
816e1610c4eb140ad8a8fbdd72883de2,0
f3a17db45a247fd0f6ce1957e74d59da,1
98d9ee692c8a5c49d52c2f15fe912161,0
bf5bc66fecec4a1f2fe89ad80a45eb70,0
063a91d1829bfe997736c8015e3d9f00,0
1e00b108459266000eba3d34cbb7f064,0
fafff6f0993c9cf695ec1be8f6955dfe,0
effd64724f04cef95a8d9614e91889c7,0
4f4b52191d994a57c75635d7ebd45ee7,0
70b094b40fcdd08b7bd325408e6a8aa1,0
37ab5331ebe23573943a569b45962e01,1
c8dbc8126e0b8ab97701600c91477894,0
ff1e183b778af5219d52f95da33a9618,1
1b03db6c5e9832c808d8c8b4717f12e5,0
66094f04406936605baec5a61571dea7,1
4571a9f8aab20da50eebac1e5fcc2140,0
c93908f33a4e00da9ec4aecb6a60f7cd,0
95bfb806d84467e67fd090128c9cbb02,0
1b7b4c3bb1c4815d02ecffc2cb8c9d4c,1
06c2ef12c1801776bb7d90334a1ca2ad,0
