IMSI,y
a4fc99cf22174ce4e32dce22ff7ac397,0
72b6fdb899dd963637a07c7a818b1f8b,0
ca645cda359794acd284c4eb9029bb63,1
7faad2556f54c4e8b651e9cc07cb48d6,1
d51d76eb4be74fb810dcdfe1fef1923b,0
c6d818487d8a2c49325eb77e59d86507,0
be3220a06003118f9070ae43b492696b,0
aa7671140226cd63d973e5cdcd59a970,0
ad48f2157e07d34343dad5368a783ac1,0
87029614b4479522daf22c3f37e368d4,0
9b41e55def12de226d87bd015e82fefa,0
e82e390fd8fcc36579db52246f83bf0d,1
0d37da9fdcad410f1f141a71367d212c,0
1c338e46d3d92a998db3435f01c9a09f,1
3f2bf390484994c83c7b19278e900e69,1
804f4bf3a5a3bd15dd4ac21d846b4fa6,0
c6e6d817afc0f621b774f4381fb29b08,1
e27d348de7e359fdd8a4b9fe0a015e42,1
6009d0bb0869db9bfd3f5eef14b87222,0
b32e9a3ed041b8ff2892a7eaab033e02,0
f85de7eadba599c6440b54c35d87d812,1
353824a2eaf113483a8f76934d1d04b4,0
6626bc8884581c69187f5f1507ff4eae,0
70c778e3be19eea533e5a5a5a6062569,0
f438328d25870eff02b76adaa34562d2,0
feeee675f003ade6b8d12b84699b6b2e,0
654725350b9ec26a9f52a638d40e9188,0
4d1c3147150bbd11474972d718caf7b1,0
29bb4cd1a38c5b0aeb09c6889ee4548e,1
199e79a8da3bc38d385d6e7acd6b5c94,0
8656193fbdf9283ee07ce79dfbe6e32c,0
1de0741735f4e8787c69a2f0ba0fac4d,1
8f053cf61516c31ad79ea334994abf97,0
a7bf8d24e77ad441307e0c5e069c5749,1
3f04c1d79f7252df80a66095d0d99620,0
7b593b59398eaab9fed395889b148d13,0
031540fd415dabeae769fbcfc29d82db,0
f7d0dfac49ceecfae7f6822f4254464c,1
fd23631e933512bab624dc03f49e3dd3,0
545191093ee4682c741a0a448b252b0d,1
09113f219c6c10a472ae5767f98f7beb,0
18d083674712499bc189cc65eed69635,1
dc9c271fb77635ecf3d1f7a9ecf6ed81,0
2b3ece6a5e3b6df7d5fa9ade916840a5,0
84e58117ef6e1606b733dbc34c91db6f,0
310c5bc5f34b573d6a7f0edc43f4f96a,1
b564d139f0a897943557cee17a94c181,1
9f89ed9bd45f70d73eebf8e3b86629be,1
e3bccd55e65d09c5a00a15273860ae7c,1
55dd42f939fbc9de6ea56053e8a44c5d,0
38f4b72ffcc53aa77381f1556b7dbbde,1
0953d71de643bfcdacb2ea11971ea2c8,0
c978f6bb4b8432850e4065adfdb388b8,1
fa778f09626e9f0f89dff6d308f97a43,0
ac2ee57da67e92b5992ce382c60bb06d,0
6ba93c281631bb8b3dcfa9610baf7760,1
c7cbaf952a663a6ecde698541f9c53dc,1
3dc2d800497fe58374cdfe1b5f287ea4,0
ccabab494918ea2ca151f486b74e4090,0
a4f282866b12439ccf576700de5075eb,0
065ec2dddce209d6855d94ab82985dc8,1
6cf34a9a9338c69a69966c44119f338d,1
094fba72fe27d6e0cd102023b1b364a1,1
79777158508dcff52f2906239e710611,0
c5834f346d8c7dde0eb9272bf93a93d9,0
ef0500d7002ac4648941b4971e1e086c,0
0229f3d2e49c85aa25f64e7d3ecd822b,0
c3761d5e2c53c95f7673f79204ea6d9f,1
2ea905c375bc4ce783177822d915ba3b,0
44337cc375b0ffbb8381d6110979fcbe,1
7564ac7545b9158a35b13da04f2a7263,0
51e155e63cb255a89ae93953608c6601,0
adceb2f03311bd329bc0fddf17bbcc2b,0
4f1c9197a48fb58a8a5ae54374d7158b,1
90ff1eb841df4a6ee53488aae1f7379b,1
3c62e12c340af209ffb765ed8c355c8f,0
c68e996550d9668fcf96eab33835f7d4,1
64b10c208561e7f7eb7ec2c676e2876c,0
34e37f52d9976a3751f3cc9cddf15537,1
0297feaf397e1f9978fc92d5cab24f1c,0
eeb6649e95bfa36e496db5171a696d8d,0
a6f72f201a207d001ec334f388b4bc22,1
26e1110d8776a5882c038af67c087599,1
26df932fc84b195b1c9fe8540d3e143c,1
5608f874d660e23e0ea94bb6916a75c5,1
9f6fd273ac42f68e12d06a8cbbbc2fce,0
b55892074bc0852da4d9dc13405b780e,0
cfaa75dee9e5294fb28c908fa8aca188,1
2584069f93c5d8ab27e380673ee1e425,0
42814f72930506a07fd254061e65c061,0
6c52f4907e8862963ce9e030669960f0,0
e05b5807f267d79008731bce1cf8b52b,0
7404f273cd83fca90375fd12fb9f4393,1
b11b153f2c2a240d9e47992570f8e356,0
6f18ec9a6f8b301864c0e20c7e03b114,0
f0f316828b8f837925f29db8fe9387ce,0
cb04f6af69f56388ae3f86c634e1a376,1
7b883d8be4c3ddc14fccc857b552fda0,0
866b748041211345dddcaedb85e363fc,1
84513ed359984ba27ce6d64b2fee8544,1
0e663ef2b73d00eb9236508878713879,1
36be3aef53de1d1f88f7a28a30b4adf4,0
869e802706d64ab1027d189bda14569e,1
145401763a505f239c709829e7a84733,1
08f67fbc05fa5e628a8d1192f7b6c83f,0
2929b1187c731ce3905b8ef4328b05ff,0
21d42aec2b0753257c9090eb817655f5,1
e85431c82b157324c7018b04bff857e0,0
3e4c71a2a29827359a81a26ba3a89c4a,1
e8918b9ca8b119c878ea032ff64b983a,0
b935e627bae5f8cc3c3125ccb83c6671,1
d10411a269fb206ddf4c6693f06393e3,1
731c2058d4ed7a58949cabe4b8402742,0
6bdcde892422f746faec725eb0fd76cf,0
feabf76027b7e2cc2bc455be969ce017,1
15ea1940fab18db3db475a18365e03d6,0
8604bc58fd821bffb781cd11a869f816,1
fcc4885a83fcf23f6e8df389ef5b5983,1
653a7aed12aff2b496a4abfe5673434e,0
607e86d0e698cf3872ce66681bdb15e6,1
8a8c44f85d2bd5dc00042b9535f3c60c,0
d2901b6b9f2fb91ca0e86bdceebf54bd,1
4626b09a9bfe94cc8764784fb8ee9165,1
8da223e8702e97f06bacc24645487502,1
aac67d8f44415889ca7a704817eb06c7,1
d507617a7d73595c8cfb03f41d6cd453,0
bb41586853c216d3bce466e4d1ec100c,1
9480175c488af6063d572a6f61735701,1
01b75d9f06aac448c164c1eae38d24d7,1
ff6aa10829f0db09f89b4459df06f117,0
62d74087172035590dfa168612d00e74,0
8b6a79797f9aa3ff4ec6d208609aee29,0
d345f3b50af8be10a5e676d9e4e9d486,1
2ce4226e67e34b684c270b28d15aa373,0
a1920562ac415325d265750bd34c0cdc,1
f9f384688be00472e402c8336231698b,1
25cfa9ec6acc11cfac96c68c6ce76305,1
d96e7dc1b0e99ae03a686af4a5506a03,0
7fec1217cede04e6bbc99e7de75a8f88,1
7f94d9c25ac30900baf95d456c04ad01,0
7e35024027a700abad3a2bf88c4a0be2,0
64c4233a9cb48308a0d9fe0b8cfd1224,0
f387ab5984892e7ead2b371f3c978be8,0
53e4f73823054f4e3551b3722ae11680,0
992f34f425bd0765b1cf6fd150ef4c47,1
c718efec176a4a74b713aa1872d6988e,1
da01fa7b3fc8b39280bb639df2f2ec51,1
fab2e483aa5c13353e67a6ab2b394825,0
9d30c1df914aae12fa9012a8130f7b9c,0
53298b9cc3908f09b915335d397c80b0,1
