IMSI,y
d8ccc2441daabc76628b8ce9ffc9446e,0
4e61f55067930b4c2aebd5d42a7ce1ee,0
1d449aff69e884d12d53fe279cba29b2,1
301f4c9653b9b4ec15d72ccd546e1fc4,1
dc4df7820c9ec5334122a86805496e0d,0
2575738f3207f6e4a9280f95ad8fe803,0
83cd7c8baf7ce52aad6cdee1b11790d7,0
c472c0a52655d78846f04ebc851462d1,0
3ca65f38d52c894f271260638413b266,1
8cbb51220762dc52be8f085a0bce7fa9,1
24f8a609374059a548f0eed23dd71f2d,0
1a6b9a07298e86432dccdf9cc069d6c6,0
d4be8d46952cd4cccaf7b677ff6b297d,0
559574741ac25084c02bdefcfc9e0f3c,1
86b9dc096439827b1208c2089124a820,0
8074a247f7ea8b3c8795e2fb8856c72b,0
073e0c2dfb8b18be542ddf24a1ada203,0
1ebd6a869973a7dccb2dca31bac4bdb1,1
0c5a010225c978764e6a12e43eaa5e59,0
2cd7b7dcc6d2a34f5f7560a3f8559495,0
12f08974d884520c9ca9e8a6ac451b18,1
dab639c8bfcbe05239db95199982cb7d,0
3eed6af9264b32cc67b022bcd6fed454,1
720963fd85e98b61a46bf15c0da09b9a,1
1f3829ed617d99543765ba305b4daacd,1
07b2300a34d7d1657d65700a13bb7e28,0
7f003a136b5943769bdb32c8220ff557,0
88cd0643c7085acfc6bfe8ab7be60f01,1
5d8f911129014dd1f4e539a12200a795,1
277974a0747661809dce691272cd660b,0
7c84a81ff98ddd4da51703ebe0a7038a,1
08a881e8802412fb9c739838a2518bf1,0
f70e90c18027c3a0bd2fe31969462455,0
00694ba88c7aafe778537a2c9b301bec,0
448db11179a17d56f8cf2c053fb7b620,1
460464fa1a517a9cd9ad3d8846d42d09,1
91d2b09ef6a15d33f39c64dd71d95ae3,1
8a8f3919b2f413ceade0decb4df26af8,1
a58ffb6e3c015bd2a1f9434ffc9cf656,1
00bf388390d65f9918a9bc2ef2c59ab5,1
0dab7e31025b48e61f541d4b97334dbe,0
605808ad9de093d32635f6207906b36e,1
64e3ff5a8ac0a50f823b11e1d91f8338,0
dbbb77675d2a5c77631921fde2276634,0
5946b6c81bda2f29c7055a062c390f84,1
8b06ca722e90df684791476180effd11,1
e17268fba2e62a7caf2c5d57f9322020,1
f92b308ad1989142880489dd76ffb90d,1
95ab5371e6712156a4e9238861da60e2,0
d89c534d5165dc191d2a935f877bd756,0
350f8bcc75446ef107b59d5fdd2f6014,1
3e0fa3e4c6a4eab52a6c51939e6798d1,1
f6e58a9cd97f6131228412bab2c310ad,1
2bb82dbb6d9eb5ab20e543e330c39084,0
95288ab06744a2d82fda848d99540eaa,1
4a878ab09479b5324a18ea4c6464e083,0
e420c645151aad4d7b9cab6f193c37d2,1
2ecc3e83c10a29c50a2900b661be7f43,1
c7dbd01d3026a3b36d7d19150c32de16,1
72a50e8666fb3e19c5363778b04750f1,1
343fa9511faf90f9c3626e25e7ab090f,1
2d071f118c1d99e457e35fe098d8e117,1
e121febbead572d1bc0835ab7d593d75,1
361464577780f6937b2b5b1311c7d4ab,1
c805b54becf68a9ab8f4e0aba1fd4c87,0
91ead921a60d5e713f50f64e30536c3c,1
e0e3701b0489cc78ee41cbcb6d56c948,0
031ba0f69f7f382ebde872a7f99401e4,1
fb73cc20632c4fa3641b6cea372dadef,1
1f8d030f1f1d9f5aa82353a972e65404,0
f52ecc69ea6d7ad4ddeec8d065aae251,0
ec27c4384fbcc3f7a8ce5b958b290353,1
a41b1b9d5e86c8f7cbe7477602c7035d,0
91b5754c4ab0a6ff169814398a93bf61,0
2738384f123d82a56ada91b0ef6691f4,1
e2e5daca170266c31743debe072ae0c8,1
1429de5615eadd3470f70e445d8a8a54,1
c6ff4616805b1b3ef2b4a2536433d568,1
ba75df8247b0182968b86d639bdae28f,1
17e13f3498d7ccc0313581bce20ab988,1
01887a70b5013eb327af0ce5280cdc68,1
17e681697c78c68bdc5669aaca511d77,0
65137356dc918272293ec0c4df7ea068,0
51200cf45ff596d141e2b32bc5fed77a,0
a44e3dc2cc10cbd6ac544e1859b9c339,0
9c3536e05067ca85bfcbb2a2d2bab914,1
c78f5632e809c5a29346ccbb4c86b9ec,0
2df3cc8908bee7e7a1b968cef6adae78,1
fc4ceecc3d38c26d0edef171294ae6fb,0
0a98cc88280d47476c3cbb3667e2cd51,1
57e3ba05989caf75cf3db0cf034c6548,0
5e1a57e1629c9e1588688ef83ca9ced1,0
fc9d16d65513f170ba82185b4088eb32,0
98c10485fe3c4927ef4c042184d2d4cb,1
d9cf08df7feea81a4233ebddda7a3e51,0
19254e7e316cd7903d58dc3d02e38a9b,0
a59bc984efed3cddf69d8741756027a3,1
a1d0baab1df546cde195c738eb593078,0
5c70af84c29ffe457415243de9a486f2,0
081a042fe2667eb18b488749828f0273,0
63c16219713334f8315cc78f678a38ec,1
0a5d4a3ee759efff3729942306316ece,1
690616f45aae563697605c8e2e2796c6,1
c7b7066693cf5e25ffcab9f097cf6b20,1
c357f7da74ed70ce127785f2771eb722,1
fdd32544d2a938e8f1f92983e56b9710,1
8cdb2c503dbae14157209d1ea3167bd9,1
c7d3944c0b8c2c43ad3ff2dee2a85e57,1
dce806999b1efce698f58618104593ad,0
5f504e2453e3146348321bb4cdf3a060,1
3092caa33d38eb5cfd9de344d7567311,1
e2995446789241a2c8c2daab272b67ec,0
847ace110e827748fabc4e5173ee5653,1
0038498cd5ca176140fc594bef786fbb,0
01e0198f2cac686296b8471ef380ea74,1
58d5ed1beb0f4839fe97dd790dce313e,1
d0805e02450b284886e334e3c45fcea5,1
c5bebad88d409c5c77a87ff26b6cf1b9,1
45ec0b04cc576d7cc94bb90e2b097c61,0
c5b94d55ffa946a6d4dc67e5fd2dd651,1
9b86a3ceb3d4b07019469feb2c8a7d24,1
4b17a6064accee98610abc9be3e88fbb,1
8872aafebd7345786ad3bee8c389acac,0
aa4469f7cd25a0f25f225244b1b532de,1
282dff3cb818c19eb056ad86ede7d5d1,0
c7051915d522f1e743c51638ed9b399f,0
3ec7993993b6d67f4a7c0d67ad79fa5b,1
a502e38df68960da616941b540160f08,1
