feature,score
model_9,15094
brand_9,12581
age,12521
model_8,12497
brand_8,11081
model_1,11009
model_2,10864
model_4,10757
model_3,10209
brand_2,9669
brand_4,9657
brand_1,9490
brand_3,9113
time,8154
ARPU_2,7669
ARPU_3,7320
ARPU_7,7132
ARPU_1,7045
ARPU_5,6956
num,6955
ARPU_4,6922
ARPU_8,6910
ARPU_9,6829
ARPU_6,6743
sex,4648
audio_9,3913
audio_1,3837
audio_2,3335
audio_8,3224
message_2,3216
message_8,3030
message_3,3025
audio_7,2961
message_1,2951
net,2927
audio_3,2918
message_6,2908
message_4,2867
message_7,2863
message_9,2717
message_5,2695
data_6,2644
data_9,2589
data_7,2542
audio_4,2501
data_8,2483
audio_5,2447
audio_6,2426
data_5,2348
data_3,2317
data_2,2262
data_1,2236
data_4,2234
label4,2139
label2,2002
label1,1990
label3,1874
